dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
10496,6727878,6107922,6078240,6727484,6107924,6078244,6727804,6107924,6078248,6730089,6107934,6078244,6727876,6107924,6078246,6729544,6107926,6078240,6728762,6107934,6078242,6728928,6107922,6078260,6730558,6107930,6078238,6728300,6107926,6078238
10752,6747647,6134140,6104810,6749011,6134144,6104803,6746226,6134138,6104813,6746344,6134140,6104812,6746076,6134148,6104817,6744364,6134146,6104814,6747893,6134146,6104809,6748286,6134144,6104806,6746763,6134150,6104806,6747814,6134152,6104811
11008,6765312,6160354,6131378,6764080,6160362,6131380,6766167,6160364,6131370,6764140,6160368,6131370,6764971,6160374,6131378,6764626,6160370,6131382,6764508,6160368,6131364,6764749,6160360,6131384,6765818,6160378,6131378,6764622,6160368,6131374
11264,6783828,6186586,6157944,6783729,6186594,6157939,6782562,6186593,6157929,6784400,6186588,6157936,6783489,6186582,6157939,6783157,6186584,6157933,6782744,6186592,6157943,6785542,6186578,6157934,6783176,6186584,6157945,6781341,6186580,6157939
11520,6801564,6212768,6184460,6800164,6212768,6184462,6800586,6212774,6184470,6801192,6212768,6184466,6802179,6212770,6184474,6800560,6212770,6184468,6800810,6212770,6184458,6800987,6212782,6184472,6801312,6212772,6184470,6800910,6212774,6184468
11776,6819086,6238980,6211043,6819716,6238992,6211026,6819889,6238996,6211039,6818542,6239002,6211035,6818602,6238993,6211035,6818738,6238988,6211031,6821774,6238982,6211030,6819150,6238992,6211035,6819044,6239002,6211043,6820218,6238995,6211046
12032,6837222,6265237,6237616,6838591,6265234,6237620,6837174,6265234,6237618,6837106,6265248,6237612,6837701,6265232,6237616,6836896,6265226,6237614,6839230,6265225,6237612,6837408,6265225,6237614,6837304,6265230,6237622,6839672,6265228,6237616
12288,6855046,6291464,6264175,6855512,6291445,6264182,6855080,6291454,6264183,6856160,6291460,6264174,6855594,6291460,6264184,6856789,6291456,6264179,6856056,6291460,6264188,6857814,6291462,6264188,6855278,6291464,6264176,6857024,6291460,6264178
12544,6875902,6317623,6290706,6874538,6317638,6290700,6875464,6317634,6290693,6873462,6317625,6290693,6874155,6317641,6290703,6875014,6317640,6290712,6874242,6317632,6290703,6874634,6317641,6290712,6871994,6317642,6290710,6873760,6317640,6290702
12800,6893882,6343849,6317266,6891698,6343852,6317260,6892588,6343864,6317260,6890984,6343847,6317256,6891795,6343852,6317256,6893988,6343858,6317270,6891628,6343858,6317268,6892447,6343866,6317268,6891799,6343864,6317272,6894119,6343860,6317266
13056,6910646,6370100,6343839,6909296,6370092,6343850,6910374,6370088,6343839,6909968,6370092,6343846,6910856,6370100,6343847,6912437,6370102,6343851,6910368,6370102,6343856,6912511,6370104,6343850,6909912,6370090,6343840,6908850,6370096,6343858
13312,6929114,6396324,6370414,6931284,6396318,6370414,6928692,6396318,6370412,6930694,6396312,6370406,6930104,6396316,6370410,6929204,6396302,6370414,6930130,6396314,6370416,6930794,6396316,6370412,6926814,6396324,6370414,6928646,6396316,6370406
13568,6946624,6422500,6396927,6947779,6422506,6396929,6946422,6422492,6396925,6947356,6422504,6396933,6947307,6422506,6396954,6946908,6422480,6396941,6947100,6422498,6396928,6946577,6422500,6396924,6946001,6422502,6396937,6946016,6422494,6396924
